i,j,b,d,g,f,m,s,EDGE,w,r,intended
2,13,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,14,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,15,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,16,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,17,1.5141830191400988e-06,2.3518115302013088e-09,2.5919719439281034e-07,0.028056674921747352,0.00014968317671502657,2.1113871930753794e-10,0.0,0.0,0.0,f
2,18,1.766002810545315e-08,2.2612844697900411e-08,1.4840533476585054e-05,0.00013357430507103028,0.021802162148842768,1.6691526857752463e-08,5.1691752725565581e-08,0.0,5.550467405335494e-10,g
2,19,9.8399925802778069e-10,2.3206317195447004e-07,0.00066962448423405461,3.9401921988862606e-06,0.034234251409969961,1.5801364178475264e-09,0.0,0.0,1.3437045909429354e-09,g
2,20,3.8465906271113382e-10,4.1617363020611021e-07,0.0051181557636099766,1.6813410996907206e-06,0.0048067808450887317,4.8043131914125278e-10,0.0,0.0,9.5458249031987483e-10,d
2,21,2.2555290563282714e-10,2.5420013851342501e-07,0.059304514774139033,1.1353055136424598e-06,0.00037880635122330579,5.3407705869487279e-10,0.0,0.0,1.2856515621071143e-09,d
2,22,2.9307357158943528e-10,2.8488075877203966e-07,0.0043167363557849257,2.3746579211605585e-06,0.0040541176522634502,3.8167599242888426e-09,0.0,0.0,2.0359454676353579e-09,d
2,23,9.8268521319878039e-09,4.3237550729992014e-08,0.00031577054261998458,9.8906419972395881e-05,0.0018841138262881867,4.7628654012851023e-09,0.0,0.0,0.0,g
2,24,1.4369079414996309e-06,7.362192616282359e-09,4.7596842010374733e-07,0.030766694658507041,0.00016414121082954618,5.4196034902469631e-11,0.0,0.0,0.0,f
2,25,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,26,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,27,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,28,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,29,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,30,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,31,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,32,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,33,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,34,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,35,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,36,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,37,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,38,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,39,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,40,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,41,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,42,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,43,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,44,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,45,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,46,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
2,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m
3,1,1.6380004741068221e-05,0.0,7.5004718162159956e-08,3.4873988615568396e-09,5.8261357230883958e-07,0.51896627681706642,0.0,0.0,0.0,m
3,2,1.6380004741068221e-05,0.0,7.5004718162159956e-08,3.4873988615568396e-09,5.8261357230883958e-07,0.51896627681706642,0.0,0.0,0.0,m
3,3,1.6380004741068221e-05,0.0,7.5004718162159956e-08,3.4873988615568396e-09,5.8261357230883958e-07,0.51896627681706642,0.0,0.0,0.0,m
3,4,1.6380004741068221e-05,0.0,7.5004718162159956e-08,3.4873988615568396e-09,5.8261357230883958e-07,0.51896627681706642,0.0,0.0,0.0,m
3,5,1.6380004741068221e-05,0.0,7.5004718162159956e-08,3.4873988615568396e-09,5.8261357230883958e-07,0.51896627681706642,0.0,0.0,0.0,m
3,6,1.6380004741068221e-05,0.0,7.5004718162159956e-08,3.4873988615568396e-09,5.8261357230883958e-07,0.51896627681706642,0.0,0.0,0.0,m
3,7,1.3492132236098235e-05,0.0,2.8526143719719893e-07,2.3942993209930422e-07,3.6479659357857076e-06,0.0039135707261146223,0.0,0.0,0.0,m
3,8,5.6465593064719202e-07,7.3314142190570974e-09,5.4966193240790543e-07,0.00066017428186174816,0.00010595205863519733,7.2765999071389116e-08,1.3051026647186645e-09,0.0,0.0,f
3,9,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,10,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,11,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,12,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,13,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,14,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,15,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,16,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,17,1.1371558363807874e-07,1.0486138014587522e-08,3.487087576888897e-06,0.0018063888924832994,0.0016856521961461327,1.0244482660097987e-09,2.4104665082583499e-09,0.0,2.7432245110818932e-10,f
3,18,1.766002810545315e-08,2.2612844697900411e-08,1.4840533476585054e-05,0.00013357430507103028,0.021802162148842768,1.6691526857752463e-08,5.1691752725565581e-08,0.0,5.550467405335494e-10,g
3,19,9.8399925802778069e-10,2.3206317195447004e-07,0.00066962448423405461,3.9401921988862606e-06,0.034234251409969961,1.5801364178475264e-09,0.0,0.0,1.3437045909429354e-09,g
3,20,2.1427526035118577e-10,8.8574626042011208e-07,0.039748985705697001,2.0079001600566307e-07,0.00068576953226264848,1.44998296478246e-09,0.0,0.0,4.3821707380092132e-10,d
3,21,1.2564479109578397e-10,5.4101655113283297e-07,0.46057494513959152,1.3558106222319759e-07,5.4043207433088539e-05,1.6118904120840707e-09,0.0,0.0,5.9019987396309048e-10,d
3,22,1.6325734121995107e-10,6.063144044542433e-07,0.033524945239324505,2.8358766825215358e-07,0.00057838924963077472,1.1519309109105101e-08,0.0,0.0,9.3463485271602749e-10,d
3,23,9.8268521319878039e-09,4.3237550729992014e-08,0.00031577054261998458,9.8906419972395881e-05,0.0018841138262881867,4.7628654012851023e-09,0.0,0.0,0.0,g
3,24,1.4369079414996309e-06,7.362192616282359e-09,4.7596842010374733e-07,0.030766694658507041,0.00016414121082954618,5.4196034902469631e-11,0.0,0.0,0.0,f
3,25,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
3,26,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
3,27,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
3,28,1.490523909466035e-06,2.8541833693558415e-09,1.9496700355851138e-06,0.032105031641908484,0.00010999482307048006,3.8868718781614932e-10,1.117793219863436e-09,0.0,0.0,f
3,29,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,30,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,31,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,32,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,33,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,34,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,35,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,36,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,37,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,38,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
3,39,5.8266662833962518e-07,5.1185883744266696e-09,1.4901956491602456e-05,0.013699714755455254,1.544421118669852e-05,1.1817808656684952e-10,7.3919234538872558e-10,0.0,0.0,f
